method,bpp_target,n,psnr_db,psnr_ci,ssim,ssim_ci,spa_stego,spa_ci,spa_cover,change_rate,efficiency,recovered,t_embed_s,t_extract_s
edge,0.2,36,63.023708529566335,0.01001614882565053,0.9997355445036806,9.674307958637441e-07,0.01640854598578342,0.0018825853433202021,0.0026854748194915165,0.032413058810763846,2.006164797827204,1.0,0.007952330554871833,0.008651722222162336
edge,0.4,36,59.95555780518568,0.007568424914891472,0.9994013358238889,1.6900300470899426e-06,0.03686491127108285,0.0016832737062576297,0.0026854748194915165,0.06569473831741895,2.0043739241011327,1.0,0.009313580555600352,0.009968633333301065
matching,0.05,36,69.39762887280013,0.020844645478833353,0.9999067435998445,4.2338568013485583e-07,0.002495093926747378,0.0010197618994775095,0.0026854748194915165,0.007470731382016744,2.0102181834336648,1.0,0.0039040527774178973,0.0039011777777583196
matching,0.1,36,66.1367943801266,0.013128077537349384,0.9998017946069849,5.803314580482509e-07,0.002462395673814439,0.0010547855738456309,0.0026854748194915165,0.015827744095413748,2.0028268028209535,1.0,0.004207408333159997,0.004855588889161734
matching,0.2,36,63.034364761445595,0.011059596313672074,0.999597103350572,1.0128910814068007e-06,0.003814293654107692,0.0011679828958290233,0.0026854748194915165,0.0323337978786892,2.0111039407723927,1.0,0.004833219444359759,0.005327791666584494
matching,0.4,36,59.96233467779612,0.0075691002647741605,0.9991840224585972,1.5864428581729296e-06,0.002886764693548803,0.0011104166146137702,0.0026854748194915165,0.06559230663158272,2.007504048047792,1.0,0.0059813944447644415,0.005992283332893197
random,0.05,36,69.39762887280013,0.020844645478833353,0.9999068185645817,4.2705490098398795e-07,0.00950714247972241,0.0015054791661743682,0.0026854748194915165,0.007470731382016744,2.0102181834336648,1.0,0.003785249999762275,0.003922663888766237
random,0.1,36,66.1367943801266,0.013128077537349384,0.9998019686074895,5.916184696259208e-07,0.0233556219487229,0.001895602159914627,0.0026854748194915165,0.015827744095413748,2.0028268028209535,1.0,0.004021513888902572,0.004933513888621091
random,0.2,36,63.034364761445595,0.011059596313672074,0.9995977937799123,1.051862846862678e-06,0.05876868271933346,0.0019470808009803134,0.0026854748194915165,0.0323337978786892,2.0111039407723927,1.0,0.004473680555545547,0.00533350277803235
random,0.4,36,59.96233467779612,0.0075691002647741605,0.9991872200235985,1.6168279496891689e-06,0.12543244422569588,0.002314710858966734,0.0026854748194915165,0.06559230663158272,2.007504048047792,1.0,0.0051948055557254555,0.005982638889084486
sequential,0.05,36,69.35575988216277,0.018401631287921907,0.9998947605535076,4.6066993035643556e-07,0.009837967147642608,0.0014914438383350954,0.0026854748194915165,0.007542928059895833,1.9908852893567557,1.0,0.00010653333285717248,0.00013986388866108057
sequential,0.1,36,66.14294247195033,0.002279266660629432,0.9997804888659328,1.551399802995974e-07,0.02497341072345381,0.001988737390424868,0.0026854748194915165,0.015804714626736063,2.0055832349940146,1.0,0.00010783611115683145,0.00014709444450187222
sequential,0.2,36,63.02954297692502,0.005276163821443861,0.9995424785534772,7.504649128187006e-07,0.056954203712843224,0.0019368451809714977,0.0026854748194915165,0.0323689778645833,2.0088265095362097,1.0,0.00012732500070135,0.00016080833312212222
sequential,0.4,36,59.9439342647419,0.00618211617635197,0.9990520675448447,1.4681072693547276e-06,0.12299107463614956,0.0019107027505684288,0.0026854748194915165,0.06587049696180551,1.9990073557628065,1.0,0.00017334722199135834,0.0001893333332594889
