method,bpp_target,spa_stego,spa_stego_lo,spa_stego_hi,n_clusters,n_runs,psnr_db,psnr_db_lo,psnr_db_hi,ssim,ssim_lo,ssim_hi,change_rate,change_rate_lo,change_rate_hi,embedding_efficiency,embedding_efficiency_lo,embedding_efficiency_hi,t_embed_s,t_embed_s_lo,t_embed_s_hi,t_extract_s,t_extract_s_lo,t_extract_s_hi
random,0.2,0.20831958896166072,0.2048023827599144,0.21288063192144202,200,600,58.130698768912225,58.129097289098276,58.13235589470172,0.9991819087529977,0.9991414709665719,0.9992211514294159,0.10000345230102535,0.09996529054641717,0.10004033486048378,1.9999801085999585,1.9992438834244795,2.0007429351630934,0.025563491666665213,0.024364212075017908,0.02681122522915949,0.024749707833307134,0.02354967838327198,0.025921826633319354
random,0.4,0.40591142365957483,0.4032159438480151,0.4093707281217627,200,600,55.12023627114962,55.11915266576932,55.121314507946714,0.9983693143544489,0.9982847901329126,0.998448310246836,0.20001333236694332,0.19996372016270947,0.20006321605046587,1.9998946848250971,1.9993956006827431,2.000391346508667,0.0446753734999765,0.04222369851247647,0.04710954256248244,0.04624999049998977,0.043458542049971155,0.04904539759168247
sequential,0.05,0.07488218750794073,0.06947858376685936,0.08091428795534494,200,600,64.15261427214134,64.14936046013322,64.1558647891746,0.9997274487998351,0.9997137378087179,0.9997413854624546,0.024994017283121707,0.02497526741027828,0.02501274140675859,2.000606048967496,1.9991090576795665,2.00209999030404,0.0007214920000053784,0.0006228357624929522,0.0008412497958344021,0.0003089311666613978,0.00024926389581407624,0.00040030251668556933
sequential,0.1,0.13902732105355653,0.13121032344216954,0.14736623417825703,200,600,61.142321092453,61.14006285257607,61.14448624489872,0.9994628232907143,0.9994355646117654,0.9994908763871673,0.04998689651489254,0.04996198002497351,0.05001294453938798,2.0005667440645816,1.999527630293503,2.0015670623653707,0.0008724304999956197,0.0007471876916564407,0.001026869254181017,0.0004391241666704565,0.00034129122084617557,0.0005679183916849101
sequential,0.2,0.2596999844033788,0.247234204948537,0.272400682659792,200,600,58.13014042184264,58.12854218454704,58.1317394512334,0.9989679214248994,0.9989144551928195,0.9990226374825812,0.10001625061035152,0.09997940667470293,0.1000530565579732,1.9997218197377293,1.99898726201098,2.0004582908556325,0.0014899204999998003,0.0012734200624964329,0.0017512361625223226,0.0005630553333351391,0.00047764314584191464,0.0006708990749969984
sequential,0.4,0.4630182966439667,0.445117437512336,0.4810014490074304,200,600,55.12039358785526,55.119224830536005,55.12157262451368,0.9981358506870882,0.9980393846241173,0.9982311818977705,0.20000607808430984,0.19995180670420326,0.20005999326705926,1.9999670364117623,1.999429073234469,2.000510023326404,0.0027131596666534084,0.0024720387874667604,0.0029748319958340028,0.0010796360000054962,0.0009658284708278362,0.001222309341657618
stc,0.05,0.013586426822340876,0.009584568404475375,0.018965251952363232,200,600,68.09399750125581,68.05004859564117,68.13710844925158,0.9999571540613528,0.9999534715879616,0.9999606759730513,0.010112895965576135,0.010010206858317017,0.01021867100397742,4.970981807222157,4.921778731396028,5.019975742738874,3.417329011833326,3.379825482283314,3.455474208254176,0.10137466550000374,0.0990222006875168,0.103907610566658
stc,0.1,0.014245056020816927,0.01035718690138054,0.019550283795515117,200,600,64.85294718795858,64.81637892541819,64.88720738273224,0.9998872552942624,0.9998790104489265,0.9998952043224933,0.021307868957519495,0.021137331008911096,0.021490043322245245,4.709212872644859,4.670251437236923,4.746163013150492,3.408770419333332,3.3712548939458427,3.446448187216671,0.09706609183333356,0.09510542301666347,0.09913505309166996
stc,0.2,0.016398961291541687,0.012186572368349866,0.02186976825975933,200,600,61.493031567870815,61.46539126003973,61.520925064470674,0.9997129682718122,0.9996944460113345,0.999730375222482,0.046158237457275354,0.04586164331436154,0.046456698099772105,4.3423140976801555,4.314865890151354,4.3698725824453915,3.606853496333324,3.5628548895208154,3.648399962916684,0.09620759116666548,0.0944796155291444,0.0980010653500056
stc,0.4,0.02321578185461015,0.017595215440625527,0.029538557946560687,200,600,57.88935975485782,57.868228658540545,57.91037351587331,0.9992635838986047,0.9992212396042829,0.9993044148078218,0.10578015645345049,0.10526393254597978,0.10629650290807086,3.7859462564543764,3.7677224959392803,3.8041007000696467,4.018643561666651,3.9664586565124753,4.0659970892500095,0.09618458399996896,0.09444964148747155,0.09790679914161395
uniward,0.05,0.013524673835500293,0.009499969747246947,0.019032903093268872,200,600,69.0988659213469,69.06925006387763,69.12923144647927,0.9999553031181122,0.9999523040624624,0.9999581938660587,0.008012148539225222,0.007955760320027632,0.008067647139231327,6.256301731740588,6.2139547789318526,6.299669626389761,3.1600353803333427,3.1054512652750175,3.2088922263875004,0.09200781900002308,0.09033243185001835,0.09353191174168617
